year,jan,feb,mar,apr,maj,jun,jul,avg ,sep,okt,nov,dec,god
1961,260.1,403.3,179.2,248.5,1224.8,263,108.4,49,29.8,674.9,485,536.5,1224.8
1962,477.7,726.7,1743.7,1993.5,268.8,157.6,153,63.9,30.7,37.5,333.5,760.5,1993.5
1963,649.3,878.7,874.6,514.4,248.5,336.7,146.2,81.2,69.9,58.2,157.6,356.2,878.7
1964,240.1,914.6,658.6,816.8,310.5,622.5,459,239.9,197.2,1316.5,1047.7,1095.3,1316.5
1965,572.5,840.6,1435.9,466.1,2852.3,298.2,107.7,61.4,151.4,48.5,316.7,881.3,2852.3
1966,298.2,820.8,793.3,983.9,966.3,170,245.5,100.2,96.6,245.5,395,669.5,983.9
1967,323,342.1,824.7,828.7,437.6,355,988.4,63.9,66.9,47.7,150.7,1170.1,1170.1
1968,636.9,774,329.3,228.9,187.1,415.5,138.2,590.3,395,415.5,1714.3,2049.8,2049.8
1969,398.4,1305.1,480.3,537,286.2,717.3,1100.2,319.9,234.4,79.5,494.5,369.7,1305.1
1970,1935.2,919.2,1140.9,1353.9,1156.3,433.1,513,91.8,64.3,236,333.4,910.9,1935.2
1971,705.8,462.4,632,517.8,204.6,192.8,62.3,53.9,165.9,337,423,423,705.8
1972,124.5,145.9,134,501.5,429.1,183.3,552.6,1630.4,612,741.9,416.3,528.6,1630.4
1973,113.7,738.2,468.2,767.6,316,238.9,134,134,249.4,162.9,136,640.5,767.6
1974,1022.9,562.2,193.1,323,585.8,810.7,640.1,143.9,231.8,1077.3,528.5,329,1077.3
1975,234.4,154,531.9,1000.3,640.1,282.5,375.9,288.1,143.9,279.7,419.1,409,1000.3
1976,170.8,224.3,344.3,484.4,477.6,740,1183.3,242.3,337.1,411.5,307.8,1369.4,1369.4
1977,782,712.4,325.3,444.1,195.5,183.9,349.1,157.7,322.3,623.3,532.8,822.2,822.2
1978,654,847.2,513.9,419.5,2018.2,942.1,356.9,111.6,709.3,234.1,137.5,861.5,2018.2
1979,636.9,553.1,252.1,807.9,395.3,145.5,450.4,95.2,147.6,595.1,798.4,457.8,807.9
1980,858.6,963,380.7,457.8,758.4,404,218.9,83.5,68.7,136,530.1,530.1,963
1981,542.9,353.8,1437.3,413.6,452.4,637.5,158.8,148.5,165.9,273,310.9,1026.1,1437.3
1982,461.5,127.8,954.4,863.5,351.1,555.7,158.8,140.3,54.6,443.3,109.1,517.4,954.4
1983,285.4,1398.3,455.4,542.9,129.3,419.5,219.9,209.2,384.7,106.4,258.6,473.8,1398.3
1984,443.3,856.7,630.9,873.6,533.3,329.4,387.5,235.4,256.2,1739.5,282.9,126.3,1739.5
1985,621,253.8,396.2,1570,455.4,239.9,141.9,657.5,184.7,101,431.4,249.2,1570
1986,489.2,1077.8,928.5,601.2,351.1,621,981.5,617.7,55.7,196.8,211.3,148.5,1077.8
1987,1030.3,601.2,728,677.5,2064.6,345.6,251.5,105,54.6,62.3,1280.4,667.5,2064.6
1988,396.2,362.1,1026.1,530.1,359.3,186.7,88.2,54.6,205,105,117.5,364.9,1026.1
1989,98.4,511.1,508,198.9,575.1,431.4,404.9,939.4,741.5,1864.9,329.4,190.7,1864.9
1990,116.1,224.3,173.2,298,107.7,211.3,57.9,60.1,40.6,90.7,230.9,1229.3,1229.3
1991,,,,,,,,,,,,,
1992,,,,,,,95,70.8,68.3,258,382,319,
1993,,,,,,,,,,,,,
1994,,512,455,1380,593,343,395,69.6,292,547,363,292,1380
1995,651,597,494,698,414,446,392,446,395,176,403,634,698
1996,541,420,1034,826,435,160,54.2,65.9,1256,269,627,1034,1256
1997,727,440,290,607,535,147,300,223,111,576,604,429,727
1998,458,387,179,317,219,241,130,69.6,854,593,449,723,854
1999,374,723,764,473,295,500,461,128,167,74.6,1048,1441,1441
2000,519,814,461,948,258,128,56.4,31.6,50.8,116,276,727,948
2001,624,319,807,826,400,2553,384,81.2,940,217,694,327,2553
2002,379,624,260,1147,1142,256,78.6,195,470,957,538,307,1147
2003,387,330,230,417,133,96.4,78.6,45.4,58.7,965,455,140,965
2004,429,406,443,1590,319,485,932,145,132,201,500,791,1590
2005,217,414,1305,580,597,1000,1740,641,178,223,443,757,1740
2006,701,290,1405,749,366,500,541,970,205,319,95,137,1405
2007,384,515,400,432,167,167,49.6,82.6,225,290,866,435,866
2008,420,221,627,279,269,142,473,49.6,145,197,247,787,787
2009,541,263,850,932,145,432,267,78.6,30.8,458,203,1079,1079
2010,796,1147,547,330,1145,1914,355,79.9,147,189,641,1093,1914
2011,156,156,307,169,366,183,124,53,30,35.7,22,113,366
2012,132,156,426,449,1057,217,47.5,24,47.5,73.3,47.5,479,1057
2013,519,1431,617,701,400,151,101,25.2,68.3,97.8,245,104,1431
2014,160,122,392,1441,4205,223,174,1885,1070,256,119,389,4205
2015,923,432,494,494,446,92.2,49.6,27,62.2,384,183,187,923
2016,432,547,621,225,923,147,497,211,154,234,621,58.7,923
2017,257.2,473,883.5,605.2,440.3,127.9,127.7,223,72.3,572.7,276.3,860,883.5
2018,259.8,736,891.8,1068,913.4,513.2,325.5,227,58.6,71.3,113.2,385.2,1068
2019,194.8,1714.5,262.7,872.4,1899.6,1113.8,223,228.5,223,223,67.7,177.6,1899.6
2020,146.2,158.8,634.8,56,268.4,1169.5,148.2,269,34.9,207.8,128,722.4,1169.5
2021,629,451.7,212.8,198.4,194.8,93.9,206.6,24.2,19.7,212.8,1385,689.6,1385
2022,273.6,169.7,164.4,225.4,125.2,660.486,41.3,55.96,121,103,345.8,510.5,660.5
2023,965,288.6,766.7,567,766.7,993,109.8,51,94,30,764.1,310.8,993
2024,116.9,212.2,231.4,75.72,66.38,68.06,90.1,20,314,665.278,355,275.8,665.3
2025,741.216,99.2,1746,783.608,165.8,60.04,76.39,67.1,46.3,117.4,788.031,178.1,1746
